policy_id,verdict,feedback_score,target_gain,bad_reduction_score,diversity_score,floating_drop,trivial_e2e_drop,short_fragment_increase,low_context_cycle_increase,top_signature_rate_delta,signature_uniqueness_delta,motif_entropy_delta,nested_portal_gain,nested_orbit_seal_gain,ring_core_spine_port_gain,interlocked_port_gain,passes,risks,production_weight,short_fragment_guard,description
P2_diversity_guarded_mix,ACCEPT_WITH_GUARDS,0.7605,0.36666666666666664,0.41783333333333333,-0.023999999999999994,0.32166666666666666,0.12833333333333335,-0.31333333333333335,-0.006666666666666666,0.07666666666666666,-0.19000000000000006,-0.03209274597888179,0.18333333333333332,0.18333333333333332,0.0,0.0,"['floating/multicomponent dropped by 32.17%', 'trivial E2E chain dropped by 12.83%', 'target production coverage gained 36.67%']",['signature uniqueness dropped by 19.00%'],0.5,True,Medium influence; more family-balanced to reduce nested/orbit overconcentration.
P1_balanced_guarded_production,ACCEPT_WITH_GUARDS,0.6847910858782671,0.3166666666666667,0.36433333333333334,0.003791085878267051,0.29,0.10333333333333333,-0.35333333333333333,-0.01,0.05166666666666667,-0.1183333333333334,0.035273905855113696,0.15833333333333335,0.15833333333333335,0.0,0.0,"['floating/multicomponent dropped by 29.00%', 'trivial E2E chain dropped by 10.33%', 'target production coverage gained 31.67%']",['signature uniqueness dropped by 11.83%'],0.4,True,Balanced influence with family balancing and short-fragment guard.
P0_conservative_safe_nested,ACCEPT_WITH_GUARDS,0.5342193023661923,0.1933333333333333,0.3375,0.0033859690328590913,0.2583333333333333,0.10500000000000001,-0.30500000000000005,-0.01,0.056666666666666664,-0.10166666666666668,0.06257312688572725,0.09666666666666665,0.09666666666666665,0.0,0.0,"['floating/multicomponent dropped by 25.83%', 'trivial E2E chain dropped by 10.50%', 'target production coverage gained 19.33%']",['signature uniqueness dropped by 10.17%'],0.25,True,Low influence; production families are sampled but short-fragment candidates are resampled in memory.
P3_aggressive_without_guard_probe,PROMISING_BUT_NEEDS_CONSTRAINTS,-0.013750000000000082,0.0633333333333333,0.024916666666666615,-0.102,0.021666666666666612,0.18666666666666668,0.14500000000000002,-0.008333333333333333,0.16333333333333333,-0.48833333333333334,-0.5365556175325712,0.03166666666666665,0.03166666666666665,0.0,0.0,"['trivial E2E chain dropped by 18.67%', 'target production coverage gained 6.33%']","['short/fragmented increased by 14.50%', 'top signature rate increased by 16.33%; possible mode collapse', 'signature uniqueness dropped by 48.83%']",0.75,False,Aggressive probe; expected to expose fragmentation/collapse risk. Not intended as final config.
