subtype,baseline,experiment,delta,relative_delta
bad_floating_or_multicomponent,0.7733333333333333,0.45166666666666666,-0.32166666666666666,-0.41594827586206895
bad_low_context_cycle,0.01,0.0033333333333333335,-0.006666666666666666,-0.6666666666666666
bad_no_structural_field,0.018333333333333333,0.006666666666666667,-0.011666666666666665,-0.6363636363636362
bad_overdense_cross_fragment,0.0,0.19166666666666668,0.19166666666666668,
bad_short_or_fragmented,0.7366666666666667,0.42333333333333334,-0.31333333333333335,-0.4253393665158371
bad_trivial_e2e_chain,0.23,0.10166666666666667,-0.12833333333333335,-0.5579710144927537
bad_unbalanced_multicomponent,0.6333333333333333,0.21666666666666667,-0.41666666666666663,-0.6578947368421052
