good_hits,bad_hits,cleaned_hits,manual_hits,good_support,bad_support,cleaned_support,manual_support,precision_vs_bad_support,lift_good_vs_bad,orthogonality,candidate_features,nearest_old_rule_by_token,max_old_token_jaccard,nearest_old_rule_by_coverage,max_old_coverage_jaccard,score,predicate,role,kind,specificity_v5
23,60,19,0,0.042435424354243544,0.015155342258145996,0.0521978021978022,0.0,0.27710843373493976,2.800030631535482,1.0,['motif:relhist:E2_T0_X1_C0'],,0.0,,0.0,0.23986517613412753,motif:relhist:E2_T0_X1_C0,strict_positive_ingredient,relation_motif,0.86
27,217,46,1,0.04981549815498155,0.05481182116696135,0.12637362637362637,0.0078125,0.11065573770491803,0.9088458873569175,1.0,['motif:field:spineb1_enclb3_interb0'],,0.0,,0.0,0.2179314890031782,motif:field:spineb1_enclb3_interb0,strict_positive_ingredient,enclosure_field,0.86
26,161,20,2,0.04797047970479705,0.040666835059358426,0.054945054945054944,0.015625,0.13903743315508021,1.1795970710575572,1.0,['motif:role:maxD3_B2_portb3'],,0.0,,0.0,0.21437009571060012,motif:role:maxD3_B2_portb3,strict_positive_ingredient,role_port_motif,0.78
19,86,10,0,0.03505535055350553,0.021722657236675928,0.027472527472527472,0.0,0.18095238095238095,1.6137689582722918,1.0,['motif:relhist:E4_T0_X2_C2'],,0.0,,0.0,0.20872832472177233,motif:relhist:E4_T0_X2_C2,strict_positive_ingredient,relation_motif,0.86
13,66,31,3,0.023985239852398525,0.016670876483960595,0.08516483516483517,0.0234375,0.16455696202531644,1.438750952100466,1.0,['motif:field:spineb1_enclb3_interb2'],,0.0,,0.0,0.20447836824745286,motif:field:spineb1_enclb3_interb2,strict_positive_ingredient,enclosure_field,0.86
19,205,19,11,0.03505535055350553,0.051780752715332154,0.0521978021978022,0.0859375,0.08482142857142858,0.6769957761956201,1.0,['motif:capacity:Sb0_CC1_C1'],,0.0,,0.0,0.19577607989335388,motif:capacity:Sb0_CC1_C1,strict_positive_ingredient,semantic_topology,0.5
21,142,1,0,0.03874538745387454,0.03586764334427886,0.0027472527472527475,0.0,0.12883435582822086,1.0802323141707717,1.0,['motif:capacity:Sb2_CC1_C1'],,0.0,,0.0,0.19549198751186542,motif:capacity:Sb2_CC1_C1,strict_positive_ingredient,semantic_topology,0.5
18,119,10,0,0.033210332103321034,0.030058095478656226,0.027472527472527472,0.0,0.13138686131386862,1.104871465393797,1.0,['motif:role:maxD3_B4_portb4'],,0.0,,0.0,0.19507277028519976,motif:role:maxD3_B4_portb4,strict_positive_ingredient,role_port_motif,0.78
21,222,12,0,0.03874538745387454,0.056074766355140186,0.03296703296703297,0.0,0.08641975308641975,0.6909594151053198,1.0,['motif:role:maxD3_B2_portb4'],,0.0,,0.0,0.19116725013403982,motif:role:maxD3_B2_portb4,strict_positive_ingredient,role_port_motif,0.78
6,115,13,0,0.01107011070110701,0.02904773932811316,0.03571428571428571,0.0,0.049586776859504134,0.3811006149209158,1.0,['motif:relhist:E4_T0_X0_C2'],,0.0,,0.0,0.16278170839559636,motif:relhist:E4_T0_X0_C2,strict_positive_ingredient,relation_motif,0.86
