rule_id,decision,reason,production_tier_v7,production_family_v7,score,good_support,bad_support,cleaned_support,manual_support
row_0001,accepted,accepted,production_ready,NESTED_ORBIT_SEAL,0.636899972686641,0.16051660516605165,0.06996716342510735,0.46153846153846156,0.0234375
row_0002,accepted,accepted,production_ready,DISCOVERED_TOPOLOGY_MOTIF,0.6368978066807598,0.2158671586715867,0.09396312200050518,0.22527472527472528,0.0078125
row_0003,accepted,accepted,production_ready,NESTED_PORTAL,0.6365395493603287,0.14944649446494465,0.04874968426370296,0.2857142857142857,0.0
row_0004,accepted,accepted,production_ready,NESTED_PORTAL,0.6351928346541771,0.11992619926199262,0.04698156100025259,0.22527472527472528,0.0
row_0005,accepted,accepted,production_ready,NESTED_PORTAL,0.6307655189362188,0.16420664206642066,0.07173528668855772,0.47527472527472525,0.0234375
row_0006,accepted,accepted,production_ready,NESTED_ORBIT_SEAL,0.6275715352397011,0.1881918819188192,0.09472088911341248,0.4340659340659341,0.0234375
row_0007,accepted,accepted,production_ready,NESTED_ORBIT_SEAL,0.6275715352397011,0.1881918819188192,0.09472088911341248,0.4340659340659341,0.0234375
row_0008,accepted,accepted,production_ready,NESTED_PORTAL,0.627237262770074,0.16420664206642066,0.07552412225309421,0.4807692307692308,0.0234375
row_0009,accepted,accepted,production_ready,DISCOVERED_TOPOLOGY_MOTIF,0.6222561576745305,0.2656826568265683,0.1429653953018439,0.22802197802197802,0.0078125
row_0010,accepted,accepted,production_ready,NESTED_PORTAL,0.6182280980942791,0.14760147601476015,0.07880777974235918,0.22802197802197802,0.0
row_0011,accepted,accepted,production_ready,NESTED_PORTAL,0.6147294586196188,0.17712177121771217,0.06996716342510735,0.2774725274725275,0.0
row_0012,accepted,accepted,production_ready,DISCOVERED_TOPOLOGY_MOTIF,0.614330930954924,0.2158671586715867,0.10482445061884314,0.17032967032967034,0.0
row_0013,accepted,accepted,production_ready,NESTED_PORTAL,0.6127440610352209,0.12361623616236163,0.057085122505683254,0.17032967032967034,0.0
row_0014,accepted,accepted,production_ready,NESTED_ORBIT_SEAL,0.6118212507085119,0.14022140221402213,0.06213690325839859,0.27197802197802196,0.015625
row_0015,accepted,accepted,production_ready,NESTED_PORTAL,0.6090872810760529,0.13099630996309963,0.03839353372063652,0.1620879120879121,0.0
row_0016,accepted,accepted,production_ready,NESTED_PORTAL,0.6058560520409115,0.1881918819188192,0.09623642333922708,0.43956043956043955,0.0234375
row_0017,accepted,accepted,production_ready,NESTED_PORTAL,0.6058560520409115,0.1881918819188192,0.09623642333922708,0.43956043956043955,0.0234375
row_0018,accepted,accepted,production_ready,NESTED_PORTAL,0.5888257362202425,0.14391143911439114,0.06643091689820661,0.27197802197802196,0.015625
row_0019,accepted,accepted,production_ready,NESTED_PORTAL,0.5860923964334659,0.14391143911439114,0.06920939631220005,0.27472527472527475,0.015625
row_0020,accepted,accepted,production_aligned,NESTED_PORTAL,0.5573174006885161,0.06642066420664207,0.018691588785046728,0.09340659340659341,0.0
row_0021,accepted,accepted,production_aligned,NESTED_PORTAL,0.5573174006885161,0.06642066420664207,0.018691588785046728,0.09340659340659341,0.0
row_0022,accepted,accepted,production_aligned,DISCOVERED_TOPOLOGY_MOTIF,0.5545079388676898,0.06642066420664207,0.017428643596867896,0.09615384615384616,0.0
row_0023,accepted,accepted,production_aligned,DISCOVERED_TOPOLOGY_MOTIF,0.5542956238415837,0.07564575645756458,0.02071230108613286,0.09065934065934066,0.0
row_0024,accepted,accepted,production_aligned,DISCOVERED_TOPOLOGY_MOTIF,0.5542956238415837,0.07564575645756458,0.02071230108613286,0.09065934065934066,0.0
